"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ACPO3","","Acacia polyacantha","PR, VI","USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPR6","","Acacia pravissima","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPY3","","Acacia pycnantha","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACRE4","","Acacia retusa","PR, VI","USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub, Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACRI","","Acacia rigidula","NA (L48)","USA (TX)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACRO","","Acacia roemeriana","NA (L48)","USA (NM, TX)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSA","","Acacia saligna","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSC2","","Acacia schaffneri","NA (L48)","USA (TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSE6","","Acacia senegal","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSE7","","Acacia seyal","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACSP4","","Acacia sphaerocephala","NA (L48)","USA (FL)","Dicot","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTO6","","Acacia tortilis","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTO","","Acacia tortuosa","NA (L48), PR, VI","USA (FL), USA+ (PR, VI)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACUN2","","Acacia uncinata","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACVE2","","Acacia verticillata","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACVO","","Acacia vogeliana","PR, VI","USA+ (PR, VI)","Dicot","Plantae","Perennial","Shrub, Tree, Vine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACXA3","","Acacia xanthophloea","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPI3","","Acaena pinnatifida","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAMW","","Acalypha amentacea ssp. wilkesiana","NA (L48), PR","USA (FL), USA+ (PR)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
